"skills","job_title_short","count","avg_salary"
"suse","Data Analyst","1",""
"xamarin","Data Analyst","2",""
"wsl","Data Analyst","16",""
"angular.js","Data Analyst","2",""
"apl","Data Analyst","53",""
"vue.js","Data Analyst","24",""
"asp.net core","Data Analyst","11",""
"ubuntu","Data Analyst","29",""
"tidyr","Data Analyst","16",""
"blazor","Data Analyst","5",""
"symfony","Data Analyst","22",""
"capacitor","Data Analyst","1",""
"centos","Data Analyst","21",""
"svelte","Data Analyst","13",""
"clojure","Data Analyst","10",""
"sqlserver","Data Analyst","8",""
"codecommit","Data Analyst","6",""
"couchdb","Data Analyst","4",""
"shogun","Data Analyst","3",""
"debian","Data Analyst","8",""
"delphi","Data Analyst","17",""
"digitalocean","Data Analyst","16",""
"rshiny","Data Analyst","109",""
"elixir","Data Analyst","23",""
"ringcentral","Data Analyst","24",""
"esquisse","Data Analyst","1",""
"f#","Data Analyst","4",""
"fastapi","Data Analyst","36",""
"firestore","Data Analyst","13",""
"redhat","Data Analyst","43",""
"react.js","Data Analyst","12",""
"flutter","Data Analyst","63",""
"qt","Data Analyst","8",""
"pulumi","Data Analyst","3",""
"google chat","Data Analyst","24",""
"powerbi","Data Analyst","58",""
"groovy","Data Analyst","73",""
"gtx","Data Analyst","1",""
"haskell","Data Analyst","4",""
"heroku","Data Analyst","13",""
"play framework","Data Analyst","10",""
"ionic","Data Analyst","12",""
"ovh","Data Analyst","1",""
"openstack","Data Analyst","25",""
"kali","Data Analyst","4",""
"kotlin","Data Analyst","64",""
"objective-c","Data Analyst","11",""
"laravel","Data Analyst","26",""
"lisp","Data Analyst","8",""
"nuxt.js","Data Analyst","1",""
"lua","Data Analyst","17",""
"nuix","Data Analyst","13",""
"mattermost","Data Analyst","2",""
"microsoft lists","Data Analyst","8",""
"mlr","Data Analyst","13",""
"nltk","Data Analyst","33",""
"next.js","Data Analyst","4",""
"msaccess","Data Analyst","1",""
"svn","Data Analyst","58",400000
"solidity","Data Analyst","50",179000
"couchbase","Data Analyst","22",160515
"datarobot","Data Analyst","41",155486
"golang","Data Analyst","79",155000
"mxnet","Data Analyst","20",149000
"dplyr","Data Analyst","94",147633
"vmware","Data Analyst","184",147500
"terraform","Data Analyst","270",146734
"twilio","Data Analyst","30",138500
"gitlab","Data Analyst","514",134126
"kafka","Data Analyst","1205",129999
"puppet","Data Analyst","40",129820
"keras","Data Analyst","210",127013
"pytorch","Data Analyst","486",125226
"perl","Data Analyst","578",124686
"ansible","Data Analyst","186",124370
"hugging face","Data Analyst","11",123950
"tensorflow","Data Analyst","772",120647
"cassandra","Data Analyst","321",118407
"notion","Data Analyst","382",118092
"atlassian","Data Analyst","337",117966
"bitbucket","Data Analyst","338",116712
"airflow","Data Analyst","2012",116387
"scala","Data Analyst","1864",115480
"linux","Data Analyst","1828",114883
"confluence","Data Analyst","1926",114153
"pyspark","Data Analyst","1605",114058
"mongodb","Data Analyst","2110",113608
"aurora","Data Analyst","184",113394
"cordova","Data Analyst","29",113270
"gcp","Data Analyst","3395",113065
"spark","Data Analyst","5041",113002
"splunk","Data Analyst","729",112928
"databricks","Data Analyst","3162",112881
"unify","Data Analyst","206",112317
"git","Data Analyst","2933",112250
"dynamodb","Data Analyst","209",111840
"snowflake","Data Analyst","6194",111578
"shell","Data Analyst","1197",111496
"electron","Data Analyst","32",111175
"unix","Data Analyst","1170",111123
"hadoop","Data Analyst","4202",110888
"pandas","Data Analyst","2869",110767
"node.js","Data Analyst","128",110230
"phoenix","Data Analyst","315",109259
"php","Data Analyst","889",109052
"neo4j","Data Analyst","234",108646
"nosql","Data Analyst","2441",108331
"express","Data Analyst","1797",108221
"watson","Data Analyst","141",108103
"redshift","Data Analyst","2207",107969
"jira","Data Analyst","4753",107931
"rust","Data Analyst","67",107925
"elasticsearch","Data Analyst","406",107816
"no-sql","Data Analyst","180",107405
"numpy","Data Analyst","1534",107398
"db2","Data Analyst","1013",107130
"swift","Data Analyst","328",107100
"redis","Data Analyst","120",107044
"postgresql","Data Analyst","1935",106853
"plotly","Data Analyst","465",106603
"aws","Data Analyst","9063",106440
"c++","Data Analyst","1798",105696
"alteryx","Data Analyst","4579",105580
"azure","Data Analyst","10942",105400
"gdpr","Data Analyst","2007",105329
"bigquery","Data Analyst","3436",105238
"bash","Data Analyst","536",105075
"powershell","Data Analyst","684",105041
"mongo","Data Analyst","284",104274
"scikit-learn","Data Analyst","714",103932
"looker","Data Analyst","6271",103855
"jupyter","Data Analyst","941",103522
"ibm cloud","Data Analyst","157",103313
"kubernetes","Data Analyst","635",103089
"angular","Data Analyst","376",102103
"flask","Data Analyst","236",101863
"asp.net","Data Analyst","181",101667
"sqlite","Data Analyst","54",101625
"python","Data Analyst","57326",101512
"github","Data Analyst","1388",101498
"jenkins","Data Analyst","728",101419
"mysql","Data Analyst","3188",101381
"visio","Data Analyst","2275",101036
"oracle","Data Analyst","10410",100964
"qlik","Data Analyst","5693",100933
"java","Data Analyst","5251",100214
"chainer","Data Analyst","1",100000
"theano","Data Analyst","8",100000
"matlab","Data Analyst","2023",99909
"unity","Data Analyst","277",99617
"dax","Data Analyst","3414",99549
"ggplot2","Data Analyst","128",99416
"matplotlib","Data Analyst","944",99307
"docker","Data Analyst","1001",99262
"yarn","Data Analyst","76",99150
"seaborn","Data Analyst","404",98748
"c","Data Analyst","3008",98715
"r","Data Analyst","30075",98708
