"skills","job_title_short","count","avg_salary"
"kafka","Data Analyst","40",129999
"pytorch","Data Analyst","20",125226
"perl","Data Analyst","20",124686
"tensorflow","Data Analyst","24",120647
"cassandra","Data Analyst","11",118407
"atlassian","Data Analyst","15",117966
"airflow","Data Analyst","71",116387
"scala","Data Analyst","59",115480
"linux","Data Analyst","58",114883
"confluence","Data Analyst","62",114153
"pyspark","Data Analyst","49",114058
"mongodb","Data Analyst","52",113608
"gcp","Data Analyst","78",113065
"spark","Data Analyst","187",113002
"splunk","Data Analyst","15",112928
"databricks","Data Analyst","102",112881
"git","Data Analyst","74",112250
"snowflake","Data Analyst","241",111578
"shell","Data Analyst","44",111496
"unix","Data Analyst","37",111123
"hadoop","Data Analyst","140",110888
"pandas","Data Analyst","90",110767
"phoenix","Data Analyst","23",109259
"php","Data Analyst","29",109052
"neo4j","Data Analyst","12",108646
"nosql","Data Analyst","108",108331
"express","Data Analyst","96",108221
"redshift","Data Analyst","90",107969
"jira","Data Analyst","145",107931
"elasticsearch","Data Analyst","12",107816
"numpy","Data Analyst","54",107398
"db2","Data Analyst","38",107130
"postgresql","Data Analyst","44",106853
"plotly","Data Analyst","25",106603
"aws","Data Analyst","291",106440
"c++","Data Analyst","68",105696
"alteryx","Data Analyst","124",105580
"azure","Data Analyst","319",105400
"gdpr","Data Analyst","33",105329
"bigquery","Data Analyst","84",105238
"bash","Data Analyst","19",105075
"powershell","Data Analyst","32",105041
"scikit-learn","Data Analyst","26",103932
"looker","Data Analyst","260",103855
"jupyter","Data Analyst","37",103522
"kubernetes","Data Analyst","26",103089
"angular","Data Analyst","12",102103
"python","Data Analyst","1840",101512
"github","Data Analyst","59",101498
"jenkins","Data Analyst","21",101419
"mysql","Data Analyst","71",101381
"visio","Data Analyst","99",101036
"oracle","Data Analyst","332",100964
"qlik","Data Analyst","100",100933
"java","Data Analyst","135",100214
"matlab","Data Analyst","89",99909
"dax","Data Analyst","75",99549
"matplotlib","Data Analyst","31",99307
"docker","Data Analyst","28",99262
"seaborn","Data Analyst","12",98748
"c","Data Analyst","89",98715
"r","Data Analyst","1073",98708
"flow","Data Analyst","271",98020
"tableau","Data Analyst","1659",97978
"spring","Data Analyst","22",97454
"go","Data Analyst","288",97267
"c#","Data Analyst","71",97248
"ssis","Data Analyst","102",97235
"sql","Data Analyst","3083",96435
"sql server","Data Analyst","336",96191
"t-sql","Data Analyst","60",95723
"microstrategy","Data Analyst","39",94486
"vba","Data Analyst","185",93845
"sas","Data Analyst","1000",93707
"sap","Data Analyst","183",92446
"power bi","Data Analyst","1044",92324
"javascript","Data Analyst","153",91805
"ssrs","Data Analyst","129",91537
"cognos","Data Analyst","66",90407
"zoom","Data Analyst","19",89791
"sharepoint","Data Analyst","174",89027
"react","Data Analyst","16",88567
"powerpoint","Data Analyst","524",88316
"crystal","Data Analyst","76",87327
"visual basic","Data Analyst","39",86972
"windows","Data Analyst","80",86513
"excel","Data Analyst","2143",86419
"microsoft teams","Data Analyst","15",85570
"assembly","Data Analyst","20",85390
"css","Data Analyst","30",85317
"spss","Data Analyst","212",85293
"ms access","Data Analyst","65",84873
"html","Data Analyst","55",84383
"sheets","Data Analyst","155",84130
"terminal","Data Analyst","46",83567
"slack","Data Analyst","15",83442
"word","Data Analyst","527",82941
"ruby","Data Analyst","12",80960
"outlook","Data Analyst","180",80680
"spreadsheet","Data Analyst","100",78466
"planner","Data Analyst","15",77039
"smartsheet","Data Analyst","24",71221
