"job_title_short","skills","skill_percentage"
"Business Analyst","tableau","25.00"
"Business Analyst","power bi","16.67"
"Business Analyst","sql","16.67"
"Business Analyst","sas","16.67"
"Business Analyst","ssis","8.33"
"Business Analyst","snowflake","8.33"
"Business Analyst","excel","8.33"
"Data Analyst","sql","14.67"
"Data Analyst","python","11.67"
"Data Analyst","excel","9.67"
"Data Analyst","tableau","7.67"
"Data Analyst","r","5.00"
"Data Analyst","flow","3.00"
"Data Analyst","power bi","3.00"
"Data Analyst","powerpoint","2.67"
"Data Analyst","word","2.33"
"Data Analyst","oracle","2.00"
"Data Analyst","sas","2.00"
"Data Analyst","planner","1.33"
"Data Analyst","c#","1.33"
"Data Analyst","sql server","1.33"
"Data Analyst","aws","1.33"
"Data Analyst","snowflake","1.00"
"Data Analyst","azure","1.00"
"Data Analyst","qlik","1.00"
"Data Analyst","jira","1.00"
"Data Analyst","pandas","1.00"
"Data Analyst","vba","1.00"
"Data Analyst","numpy","0.67"
"Data Analyst","outlook","0.67"
"Data Analyst","postgresql","0.67"
"Data Analyst","t-sql","0.67"
"Data Analyst","linux","0.67"
"Data Analyst","redshift","0.67"
"Data Analyst","sap","0.67"
"Data Analyst","c++","0.67"
"Data Analyst","scala","0.67"
"Data Analyst","hadoop","0.67"
"Data Analyst","sharepoint","0.67"
"Data Analyst","go","0.67"
"Data Analyst","shell","0.67"
"Data Analyst","gdpr","0.67"
"Data Analyst","gcp","0.67"
"Data Analyst","express","0.67"
"Data Analyst","dax","0.67"
"Data Analyst","confluence","0.67"
"Data Analyst","cognos","0.67"
"Data Analyst","c","0.67"
"Data Analyst","spreadsheet","0.67"
"Data Analyst","zoom","0.33"
"Data Analyst","ms access","0.33"
"Data Analyst","rust","0.33"
"Data Analyst","git","0.33"
"Data Analyst","scikit-learn","0.33"
"Data Analyst","ggplot2","0.33"
"Data Analyst","dplyr","0.33"
"Data Analyst","plotly","0.33"
"Data Analyst","airtable","0.33"
"Data Analyst","django","0.33"
"Data Analyst","bigquery","0.33"
"Data Analyst","powershell","0.33"
"Data Analyst","bash","0.33"
"Data Analyst","pytorch","0.33"
"Data Analyst","asana","0.33"
"Data Analyst","alteryx","0.33"
"Data Analyst","hugging face","0.33"
"Data Analyst","java","0.33"
"Data Analyst","github","0.33"
"Data Analyst","jupyter","0.33"
"Data Analyst","seaborn","0.33"
"Data Analyst","looker","0.33"
"Data Analyst","matlab","0.33"
