UMAP1,UMAP2,company
13.9010935,12.434401,Dr. Phillips Center for the Performing Arts
6.351426,-1.7757907,Expert Resource
-8.802415,16.265648,Hays (Schweiz) AG
-0.6563409,1.2145901,Wilen Group
1.3985522,-1.4279847,Connected Kerb
-4.142201,-7.571206,Agentero
-16.95697,-2.5350387,S and P Global
-1.1103811,5.1612353,"Goldbelt Apex, LLC"
-6.61367,0.85878,Upsourcing
5.062907,-4.5056047,Reorg
-37.568085,29.935085,Nogle
-0.64319265,1.2983519,Dataorbis
1.1053953,0.86739767,Intellisoft Technologies
2.9406989,0.3685221,Loreal
3.3158178,1.4559752,MRA - The Management Association
-37.577576,29.959984,Epsor
-37.575226,29.931385,Maif
-2.9076602,-0.19272174,Wesfarmers OneDigital
-4.139405,-7.5626326,Integree Solutions
-4.948847,11.811842,"Michaels Stores, Inc."
6.4967,-5.4520655,Kuehne+Nagel
-2.2662966,2.8019798,Afaq Q Tech General Trading
0.9744442,5.657115,BBI-Consultancy
1.3301115,3.333587,"MySuki, Inc."
5.5387106,0.116974056,Ferring Holding SA
-3.405987,7.4709854,"HR1Systems, LLC"
-5.3007874,1.0009671,L'Oréal
-0.43387744,1.2229954,Rifcon GmbH
-21.674091,-24.541681,Gravity It Resources
6.3448043,-1.7825574,ATSG
13.90534,12.429646,Naval Air Systems Command (NAVAIR)
-0.4471758,2.986215,Experis-US
-4.915342,11.745221,Kk Women's And Children's Hospital Pte. Ltd.
-20.478733,24.45712,Fennia
-3.5490956,7.295464,Enersys
13.897596,12.437114,"Axient, LLC"
35.545643,0.10472226,BCA
6.4456034,-5.340431,Pacific Healthcare Group
41.809467,-13.828633,La Holandesa
3.5240536,-2.1147954,Epos Audio
-5.2941875,1.1334182,Thales Group
1.3847709,-1.6682714,All Your BI
-11.100311,-15.3961315,Employit
1.3267611,2.8341134,Apptrics LLC
-4.2034273,12.903055,Coillte
1.3479103,2.8372118,Signode
25.512602,-46.393932,"Primover Consultancy Services, Inc."
-5.7444777,1.0077416,CDI Solutions
0.73457885,4.9569626,FirstEnergy
0.6587336,1.3256221,NETGEAR
36.019756,0.32772788,All service srl
-1.0073738,1.7520317,"MoEngage, Inc"
25.503902,-46.404404,Hospice & Palliative Care Buffalo
-2.8335059,0.26394352,Incubly
11.169598,4.9271045,Job Masters Pty Ltd
-1.1723675,2.4636815,Eolas Recruitment
-0.3321793,2.948727,"Delta Air Lines, Inc."
-2.8828807,1.8340303,Hiring Partners HR Solutions Pvt. Ltd.
-2.3320575,2.1815126,DIAGEO India
25.50591,-46.393745,Simon James IT Ltd
-20.477346,24.464922,WORLDWIDE LOGISTICS SINGAPORE PTE. LTD.
-2.7387476,0.3687314,Softpath System LLC
-2.681221,0.2611489,Santander Consumer Bank Nordics
1.0691602,5.9434614,Citibanamex
0.5582693,4.7138596,Idealmet Technologies
11.413995,-10.302483,e2e Project Excellence
-6.1761556,0.8693573,dé VakantieDiscounter 31 maart 2023
0.8571843,5.3189507,University of Rochester
-37.558765,29.950552,Versende Limited
1.5519813,5.409422,Gitamondoc-Gopaoco Structural Engineering
-6.617887,0.8515711,ExpressSteuer
-3.4285104,13.920905,Upfront
1.5672046,3.1903112,Boston Planning and Development Agency
11.166631,4.9300613,Perfect Pet
2.603555,-5.0617094,宝洁
-2.2361033,4.1233068,Randstad España
-0.14926082,-32.79739,AstraZeneca Österreich GmbH
-2.9128542,1.8038415,Intuitive Apps Inc.
36.081207,0.30337474,Zf Friedrichshafen Ag
-0.85367787,4.2422695,SmartIMS Inc.
41.8343,-13.805422,Reckitt Benckiser  Pte Ltd
41.390163,-14.037822,Gregory-Martin International
-8.9816675,16.535036,SKAN AG
0.81295115,2.7218075,ACS
1.430423,2.477558,Gemraj Technologies Ltd
1.3215379,6.270608,Latitude Trading Group
3.6652653,0.15769129,Discovery Place
-0.7063895,3.9661953,Extia
2.5570986,-5.08954,SP Search
-0.678178,3.6111844,FRS Recruitment
8.44779,17.887794,AAU/ College of Health Science
-2.5717049,4.8145504,Dahmen Personalservice GmbH
4.8091702,-13.079322,IMKEY PTE. LTD.
0.40148088,-2.9092228,Mindquest (anciennement Club Freelance)
-1.1414409,-2.2931867,Demostack
3.3889403,1.458534,Samsung R&D Institute Poland
-0.8478561,3.0765626,Workafy
-0.15413383,-32.796135,Ente Bancario e di Investimento Internazionale
2.5528605,-5.0937924,Kennedy Wilson
-4.042786,-4.803209,MUFG Global Service (MGS)
-0.60858506,4.419951,PAYBACK GROUP
-6.9246655,26.427408,Greening Youth Foundation
5.5364237,0.11618615,Accor Hotels Uae -
35.837543,0.111726634,mrosupply
1.5308666,3.1615698,The Boeing Company
36.02785,0.32597497,Adler Pelzer Group
0.92571557,2.1414852,SESAMm
1.0624686,0.83825594,Reason Group
1.297918,1.1578336,Uclahealthcareers
-6.1949024,1.4162151,Fullscript
-6.61537,0.8438537,Parade
-3.3666017,2.82045,Guidion
-9.394113,9.356155,HomeToGo
1.1108723,2.915574,"Citigroup, Inc"
0.59552914,4.764327,PricewaterhouseCoopers PwC
-2.3639753,2.6517396,Asta CRS Inc.
-2.534241,3.9415402,Sigmatech
2.8364322,2.9742248,Ronal
-2.5582364,2.5030656,Odilo
3.4024882,-1.6916689,weclapp GmbH
-11.098189,-15.408814,Publicis Groupe Singapore
41.818363,-13.820702,Conektr
1.569446,3.2302496,worldIT - Sistemas de Informação
-2.6349714,4.070081,HNI Corporation
-2.7722278,2.6996574,Shoprite
-37.58873,29.922354,Enterprise Solutions Inc
-2.195483,2.8192005,Saburi Consulting Services Pte. Ltd.
-8.982945,16.538286,Warriors Recruiting
-3.4370062,8.133206,lmw
1.192654,5.1581197,บริษัท ทริส คอร์ปอเรชั่น จำกัด
-21.710373,-24.4715,CuSolid
-0.5567356,4.3701143,Virgin Money
1.153879,6.122025,Abu Dhabi Cooperative Society
-0.14300984,-32.78634,Nexwave
3.348047,1.4599993,Evolve Recruitment
-5.70442,0.72896105,Infermedica
10.252375,-5.938454,Shaerp B.V.
1.2797025,-1.7474035,C&w Services (s) Pte. Ltd.
-0.34809148,5.1797085,"AT&T Intellectual Property II, L.P"
41.813416,-13.826702,New Pig
36.120953,0.30580494,Albourne
41.804234,-13.818577,Sterigenics
-5.3520503,0.7443496,AMIRI
-20.468817,24.463926,Orion Systems Integrators
8.444375,17.884369,Itility
0.463214,4.7123084,Frontiers
11.193056,4.9037466,Cube Hub Inc
-2.8738182,2.8122592,Malakye.com
1.2918203,2.9583385,ELECTRO ENCHUFE S.A.C
-2.9792604,-0.22697635,Glia Technologies
35.84599,0.10091706,Beyond Insurance Brokera
-5.6988907,1.0365002,Peloton Interactive
2.8227892,2.9582686,Parkdean Resorts
-0.58502936,2.3401995,Canada Life Assurance Company
-3.829901,-5.219183,ANZ
-21.700844,-24.48704,Concern Worldwide
-16.958672,-2.533174,LUXOFT INFORMATION TECHNOLOGY (SINGAPORE) PTE. LTD.
1.2835907,3.1901617,"Self Opportunity, Inc."
-4.5925603,3.4753027,amazon
0.92864335,-2.0799012,OBARO
-1.4877832,-3.8571327,MIOTI Data Consulting Services
-0.80647045,-9.518272,FARD SOLUTIONS SDN.
6.482553,-5.3759174,SHISEIDO ASIA PACIFIC PTE. LTD.
-0.6683563,3.7726018,System Stewardship
1.0732245,4.9329505,New York State Psychiatry Institute
0.8415102,2.4366088,GIT Consult Czech s.r.o.
-16.785849,-2.7218742,NUS Consulting Group
11.413275,-10.301755,Sarah Group Holdings
16.067963,0.7307381,โลตัส
1.5411631,3.6550376,LaunchPointPEO
-3.0793114,2.7633774,HR PLACEMENT CONSULTANTS (HRPC)
-2.848391,1.855628,Swisscom
-3.4369392,13.911567,Office of the New York State Attorney General
-2.8579264,2.8078995,"Reeracoen Philippines, Inc. (Neo Career Group)"
16.22134,-2.705867,Vrije Universiteit Brussel
-21.696066,-24.544523,Neorithm Technologies Inc
-1.1418898,1.6019611,Mastek
-0.9455991,0.9791668,Roots ICT
-4.135146,-7.5564694,BlueVine
-6.752862,6.548933,INTRASIPA
0.7256667,1.2866708,Advanced Resource Managers UK
13.889005,12.409055,Association of Executive Search and Leadership Consultants (AESC)
-0.8591967,4.3286324,infinite Computing solutions
19.291393,-24.117699,Nuvance Health
-2.859016,1.8521435,Consult-IT
10.271922,-5.966336,Gheeraert
4.805787,-13.082753,IMMOQEE SP. z o.o.
41.83046,-13.830385,AmeriCorps
0.252829,-6.3583274,Live Assets | I.T. Staffing Solutions
10.253864,-5.940977,BrewDog
-2.6707778,2.6191099,Noralogic
-0.15558027,-32.79844,Groupe Bert
36.05194,0.34761274,"SCRUBS & BEYOND, LLC"
35.60936,0.100027196,Vivandi
-0.6192612,4.431357,University of Edinburgh
16.298937,-2.6493106,Firstsource Healthcare
19.698952,-23.984255,Aravati
-2.0959992,2.4002218,Percept Solutions Pte. Ltd.
0.4844685,1.7095217,OCAS Application Services Inc.
1.1561495,-0.8518557,STEP
-21.737053,-24.500319,Field Pro By Optimetriks
41.791424,-13.845839,Catapult Learning
-0.25437313,4.6813774,HMRC
-8.99264,16.548182,I&M Bank Limited
-6.588392,1.2189127,Kencko
-37.558685,29.951897,YoFio
35.848972,0.13915032,Vitasoy International Holdings Limited
-21.745209,-24.463818,Asito
-20.468143,24.449245,Eurecat
3.0752046,-1.7210692,ADESA Europe NV
35.806957,0.35124955,Sodexo US
-1.2169577,5.131154,FINAIA
35.727345,0.24302721,Conectys
1.4090468,3.3146825,Vistra Energy
-8.982292,16.538351,Public Company Accounting Oversight Board (PCAOB)
-1.205015,5.0658994,Willen Hospice
-6.9177527,26.409948,Gillette Children's
-21.7198,-24.553331,Passion.Io
0.93445414,5.4968176,Behavioral Health Network of Greater St Louis
36.12588,0.33873883,Conde Nast
-4.133938,-7.548542,Leegality
6.3253646,-1.8010422,Compre Group
3.3313391,0.81232244,MyPass Global
-0.15170139,-32.790474,eliteBco
13.901105,12.43349,QiStaff Solutions
-0.102059305,3.9206865,CEDENT -
6.3451633,-1.7808329,Prontoux INC
1.203327,-3.376223,Martin & Servera AB
